WMU,Year,Active Hunters,Harvest
2,2012,31,7
2,2013,39,11
2,2014,36,11
2,2015,50,10
2,2016,42,18
2,2017,59,14
2,2018,46,10
2,2019,38,8
2,2020,35,4
2,2021,40,8
2,2022,54,6
2,2023,48,12
3,2012,173,56
3,2013,179,70
3,2014,175,82
3,2015,184,64
3,2016,234,76
3,2017,208,83
3,2018,190,62
3,2019,198,76
3,2020,132,22
3,2021,137,24
3,2022,191,49
3,2023,213,62
4,2012,152,54
4,2013,137,51
4,2014,159,68
4,2015,179,57
4,2016,152,66
4,2017,173,74
4,2018,207,73
4,2019,229,63
4,2020,147,9
4,2021,101,7
4,2022,192,53
4,2023,221,79
5,2012,396,197
5,2013,363,146
5,2014,414,183
5,2015,372,164
5,2016,496,288
5,2017,475,267
5,2018,525,289
5,2019,533,263
5,2020,153,44
5,2021,133,28
5,2022,404,175
5,2023,447,186
6,2012,93,72
6,2013,105,68
6,2014,102,55
6,2015,102,62
6,2016,132,97
6,2017,131,83
6,2018,120,88
6,2019,105,70
6,2020,25,5
6,2021,31,10
6,2022,52,27
6,2023,72,33
8,2012,179,85
8,2013,133,42
8,2014,174,74
8,2015,157,73
8,2016,190,98
8,2017,165,87
8,2018,173,77
8,2019,190,91
8,2020,85,23
8,2021,93,23
8,2022,144,55
8,2023,210,67
10,2012,123,58
10,2013,104,41
10,2014,121,51
10,2015,142,47
10,2016,141,72
10,2017,114,60
10,2018,139,63
10,2019,113,56
10,2020,65,13
10,2021,51,13
10,2022,107,37
10,2023,121,50
13,2012,445,202
13,2013,475,157
13,2014,607,178
13,2015,581,250
13,2016,524,232
13,2017,519,191
13,2018,494,141
13,2019,542,194
13,2020,522,159
13,2021,450,126
13,2022,551,166
13,2023,493,134
14,2012,18,4
14,2013,20,3
14,2014,20,0
14,2015,27,11
14,2016,26,2
14,2017,19,4
14,2018,18,1
14,2019,9,1
14,2020,12,1
14,2021,9,2
14,2022,8,1
14,2023,19,6
17,2012,47,6
17,2013,44,3
17,2014,60,3
17,2015,71,12
17,2016,71,8
17,2017,85,5
17,2018,58,7
17,2019,73,3
17,2020,96,4
17,2021,96,6
17,2022,77,6
17,2023,66,6
19,2012,277,97
19,2013,270,77
19,2014,310,130
19,2015,346,130
19,2016,428,128
19,2017,430,120
19,2018,375,100
19,2019,366,112
19,2020,271,26
19,2021,254,26
19,2022,319,69
19,2023,378,117
22,2012,218,105
22,2013,246,99
22,2014,246,102
22,2015,255,98
22,2016,289,133
22,2017,247,67
22,2018,252,94
22,2019,231,49
22,2020,125,17
22,2021,133,25
22,2022,145,44
22,2023,216,93
23,2012,214,59
23,2013,215,65
23,2014,163,49
23,2015,226,44
23,2016,308,61
23,2017,252,58
23,2018,255,40
23,2019,291,54
23,2020,294,33
23,2021,283,54
23,2022,227,36
23,2023,262,53
24,2012,150,39
24,2013,191,57
24,2014,199,45
24,2015,267,56
24,2016,358,61
24,2017,311,65
24,2018,272,51
24,2019,374,49
24,2020,402,42
24,2021,374,58
24,2022,280,31
24,2023,276,37
25,2012,30,4
25,2013,35,1
25,2014,35,0
25,2015,29,2
25,2016,45,4
25,2017,39,2
25,2018,37,0
25,2019,66,3
25,2020,53,1
25,2021,44,4
25,2022,36,0
25,2023,45,5
26,2012,110,7
26,2013,122,24
26,2014,107,11
26,2015,189,16
26,2016,213,23
26,2017,221,26
26,2018,213,31
26,2019,210,36
26,2020,197,19
26,2021,159,13
26,2022,159,30
26,2023,151,28
27,2012,212,64
27,2013,231,108
27,2014,212,65
27,2015,234,78
27,2016,313,107
27,2017,315,79
27,2018,340,96
27,2019,360,43
27,2020,364,40
27,2021,372,61
27,2022,308,27
27,2023,308,30
28,2012,1089,345
28,2013,1130,318
28,2014,1001,250
28,2015,1171,460
28,2016,1391,441
28,2017,1350,390
28,2018,1204,397
28,2019,1236,236
28,2020,1185,319
28,2021,1223,315
28,2022,1121,169
28,2023,1162,176
29,2012,543,154
29,2013,560,118
29,2014,796,131
29,2015,884,239
29,2016,811,193
29,2017,674,143
29,2018,600,152
29,2019,639,106
29,2020,553,105
29,2021,577,112
29,2022,573,105
29,2023,541,84
30,2012,391,110
30,2013,374,81
30,2014,622,148
30,2015,611,144
30,2016,538,99
30,2017,360,64
30,2018,369,79
30,2019,391,60
30,2020,394,94
30,2021,312,82
30,2022,266,46
30,2023,323,49
31,2012,326,107
31,2013,344,74
31,2014,331,100
31,2015,352,142
31,2016,540,170
31,2017,456,112
31,2018,429,108
31,2019,371,42
31,2020,265,42
31,2021,334,58
31,2022,390,70
31,2023,371,72
32,2012,255,116
32,2013,253,97
32,2014,234,83
32,2015,239,128
32,2016,266,138
32,2017,289,120
32,2018,285,106
32,2019,280,51
32,2020,127,17
32,2021,157,36
32,2022,255,76
32,2023,212,63
33,2012,77,47
33,2013,59,23
33,2014,78,34
33,2015,112,64
33,2016,140,82
33,2017,124,56
33,2018,99,40
33,2019,100,23
33,2020,37,1
33,2021,49,13
33,2022,66,14
33,2023,88,43
34,2012,46,19
34,2013,55,13
34,2014,43,12
34,2015,63,28
34,2016,54,25
34,2017,44,18
34,2018,40,8
34,2019,45,1
34,2020,40,6
34,2021,45,11
34,2022,44,11
34,2023,53,16
35,2012,289,99
35,2013,252,43
35,2014,242,66
35,2015,231,91
35,2016,290,118
35,2017,299,79
35,2018,217,70
35,2019,254,46
35,2020,140,14
35,2021,132,14
35,2022,234,45
35,2023,221,55
36,2012,271,100
36,2013,234,60
36,2014,397,114
36,2015,395,110
36,2016,460,164
36,2017,381,122
36,2018,350,113
36,2019,346,74
36,2020,398,117
36,2021,362,87
36,2022,332,73
36,2023,320,81
37,2012,308,91
37,2013,283,89
37,2014,285,84
37,2015,349,156
37,2016,493,228
37,2017,493,179
37,2018,363,89
37,2019,334,80
37,2020,332,78
37,2021,315,70
37,2022,348,83
37,2023,350,92
38,2012,302,57
38,2013,323,57
38,2014,374,80
38,2015,388,91
38,2016,469,154
38,2017,445,86
38,2018,409,79
38,2019,402,44
38,2020,317,28
38,2021,295,38
38,2022,303,34
38,2023,269,40
39,2012,351,88
39,2013,365,84
39,2014,575,111
39,2015,649,136
39,2016,719,197
39,2017,545,114
39,2018,487,100
39,2019,471,80
39,2020,584,108
39,2021,471,83
39,2022,512,88
39,2023,424,99
40,2012,479,129
40,2013,495,88
40,2014,544,88
40,2015,524,145
40,2016,703,199
40,2017,584,108
40,2018,594,160
40,2019,512,72
40,2020,415,81
40,2021,451,83
40,2022,376,76
40,2023,424,68
41,2012,740,195
41,2013,662,142
41,2014,959,198
41,2015,1068,258
41,2016,987,252
41,2017,928,211
41,2018,832,195
41,2019,871,119
41,2020,857,151
41,2021,842,161
41,2022,833,155
41,2023,766,175
42,2012,667,146
42,2013,574,160
42,2014,965,214
42,2015,955,254
42,2016,1010,296
42,2017,806,192
42,2018,770,167
42,2019,764,138
42,2020,905,221
42,2021,822,184
42,2022,761,197
42,2023,788,204
44,2012,4,3
44,2013,5,2
44,2014,8,2
44,2015,8,0
44,2016,16,5
44,2017,12,3
44,2018,12,2
44,2019,10,1
44,2020,12,1
44,2021,9,1
44,2022,7,0
44,2023,12,1
45,2012,31,4
45,2013,33,3
45,2014,12,2
45,2015,13,0
45,2016,44,7
45,2017,36,6
45,2018,29,3
45,2019,27,1
45,2020,38,4
45,2021,30,5
45,2022,43,3
45,2023,40,2
46,2012,406,63
46,2013,398,68
46,2014,429,100
46,2015,505,101
46,2016,754,161
46,2017,618,123
46,2018,582,59
46,2019,619,79
46,2020,711,135
46,2021,710,111
46,2022,645,88
46,2023,604,69
47,2012,611,89
47,2013,726,150
47,2014,776,116
47,2015,970,203
47,2016,1317,266
47,2017,1253,193
47,2018,1142,163
47,2019,1130,163
47,2020,1201,135
47,2021,1191,177
47,2022,1156,161
47,2023,1063,182
48,2012,464,55
48,2013,365,37
48,2014,398,78
48,2015,567,149
48,2016,639,168
48,2017,627,109
48,2018,741,198
48,2019,617,80
48,2020,693,150
48,2021,594,76
48,2022,634,132
48,2023,543,103
49,2012,766,103
49,2013,736,115
49,2014,839,146
49,2015,930,182
49,2016,1220,235
49,2017,1099,141
49,2018,995,127
49,2019,1112,171
49,2020,1161,179
49,2021,1161,158
49,2022,1073,142
49,2023,1071,127
50,2012,373,21
50,2013,330,42
50,2014,345,62
50,2015,446,96
50,2016,577,85
50,2017,529,80
50,2018,509,60
50,2019,455,35
50,2020,494,61
50,2021,415,43
50,2022,441,71
50,2023,419,46
53,2012,413,55
53,2013,373,48
53,2014,371,51
53,2015,483,81
53,2016,713,143
53,2017,612,93
53,2018,501,71
53,2019,514,81
53,2020,713,100
53,2021,700,72
53,2022,629,71
53,2023,589,68
54,2012,403,40
54,2013,357,47
54,2014,393,29
54,2015,411,33
54,2016,466,67
54,2017,520,65
54,2018,461,39
54,2019,524,45
54,2020,565,38
54,2021,560,53
54,2022,506,59
54,2023,544,75
56,2012,568,87
56,2013,583,99
56,2014,629,107
56,2015,701,101
56,2016,907,102
56,2017,715,95
56,2018,716,95
56,2019,782,111
56,2020,842,121
56,2021,849,96
56,2022,747,71
56,2023,750,89
57,2012,395,51
57,2013,358,35
57,2014,374,42
57,2015,492,96
57,2016,596,108
57,2017,558,100
57,2018,489,108
57,2019,501,73
57,2020,521,53
57,2021,466,43
57,2022,497,85
57,2023,457,52
58,2012,281,43
58,2013,245,49
58,2014,289,46
58,2015,375,50
58,2016,422,66
58,2017,376,41
58,2018,421,53
58,2019,488,88
58,2020,575,74
58,2021,529,48
58,2022,511,56
58,2023,558,63
59,2012,173,22
59,2013,183,27
59,2014,174,17
59,2015,227,39
59,2016,305,45
59,2017,265,40
59,2018,315,61
59,2019,329,39
59,2020,374,63
59,2021,342,50
59,2022,367,45
59,2023,332,45
60,2012,964,131
60,2013,919,126
60,2014,947,114
60,2015,1243,215
60,2016,1503,238
60,2017,1251,209
60,2018,1173,126
60,2019,1386,160
60,2020,1584,215
60,2021,1507,152
60,2022,1341,137
60,2023,1331,138
61,2012,589,72
61,2013,574,84
61,2014,589,82
61,2015,788,147
61,2016,965,133
61,2017,930,117
61,2018,788,88
61,2019,877,151
61,2020,935,113
61,2021,825,72
61,2022,682,72
61,2023,715,78
62,2012,370,69
62,2013,351,46
62,2014,366,59
62,2015,438,62
62,2016,583,108
62,2017,596,117
62,2018,471,49
62,2019,627,76
62,2020,725,130
62,2021,605,63
62,2022,509,56
62,2023,458,47
63,2012,612,75
63,2013,560,90
63,2014,570,56
63,2015,637,104
63,2016,776,129
63,2017,731,143
63,2018,814,107
63,2019,814,131
63,2020,1017,138
63,2021,936,102
63,2022,820,77
63,2023,793,68
64,2012,184,12
64,2013,218,25
64,2014,180,20
64,2015,217,32
64,2016,271,60
64,2017,254,38
64,2018,319,50
64,2019,334,40
64,2020,444,73
64,2021,327,42
64,2022,332,46
64,2023,314,36
66,2012,25,1
66,2013,41,6
66,2014,35,2
66,2015,35,0
66,2016,34,0
66,2017,33,2
66,2018,43,1
66,2019,52,4
66,2020,89,8
66,2021,71,2
66,2022,80,3
66,2023,76,3
67,2012,129,12
67,2013,139,10
67,2014,168,15
67,2015,178,15
67,2016,189,27
67,2017,237,37
67,2018,259,32
67,2019,268,44
67,2020,406,56
67,2021,343,40
67,2022,275,30
67,2023,239,19
68,2012,214,22
68,2013,182,25
68,2014,170,29
68,2015,236,25
68,2016,308,42
68,2017,296,47
68,2018,236,27
68,2019,310,30
68,2020,315,58
68,2021,315,36
68,2022,211,30
68,2023,195,10
71,2012,27,3
71,2013,19,1
71,2014,34,2
71,2015,35,2
71,2016,71,8
71,2017,45,2
71,2018,56,7
71,2019,61,6
71,2020,79,5
71,2021,48,6
71,2022,44,3
71,2023,68,8
72,2012,46,3
72,2013,28,3
72,2014,47,5
72,2015,58,3
72,2016,76,8
72,2017,56,6
72,2018,62,1
72,2019,73,1
72,2020,84,7
72,2021,64,5
72,2022,64,2
72,2023,53,5
73,2012,58,4
73,2013,44,0
73,2014,52,2
73,2015,79,7
73,2016,111,15
73,2017,109,7
73,2018,99,9
73,2019,144,21
73,2020,148,13
73,2021,144,14
73,2022,148,20
73,2023,120,7
74,2012,74,9
74,2013,69,9
74,2014,79,7
74,2015,121,7
74,2016,125,14
74,2017,111,15
74,2018,107,13
74,2019,110,15
74,2020,144,22
74,2021,110,11
74,2022,98,8
74,2023,95,16
75,2012,161,22
75,2013,155,22
75,2014,206,34
75,2015,236,44
75,2016,299,77
75,2017,235,48
75,2018,230,36
75,2019,241,56
75,2020,343,69
75,2021,251,52
75,2022,204,27
75,2023,245,39
76,2012,252,24
76,2013,176,17
76,2014,182,32
76,2015,257,32
76,2016,460,104
76,2017,394,70
76,2018,345,51
76,2019,339,48
76,2020,404,51
76,2021,336,74
76,2022,372,60
76,2023,340,46
83,2012,106,19
83,2013,128,22
83,2014,86,10
83,2015,115,17
83,2016,125,27
83,2017,139,23
83,2018,126,10
83,2019,130,29
83,2020,32,5
83,2021,31,4
83,2022,34,10
83,2023,52,3
84,2012,19,7
84,2013,30,4
84,2014,29,2
84,2015,35,5
84,2016,48,8
84,2017,37,4
84,2018,36,5
84,2019,37,3
84,2020,14,1
84,2021,16,1
84,2022,17,5
84,2023,27,3
01A,2012,1,0
01A,2013,6,0
01A,2014,6,2
01A,2015,8,2
01A,2016,0,0
01A,2017,6,0
01A,2018,8,0
01A,2019,17,0
01A,2020,22,1
01A,2021,16,0
01A,2022,9,0
01A,2023,18,1
01C,2012,21,5
01C,2013,32,1
01C,2014,47,9
01C,2015,76,5
01C,2016,79,2
01C,2017,97,16
01C,2018,119,6
01C,2019,86,14
01C,2020,87,9
01C,2021,85,17
01C,2022,60,11
01C,2023,94,8
01D,2012,13,3
01D,2013,9,0
01D,2014,2,0
01D,2015,10,1
01D,2016,8,4
01D,2017,11,0
01D,2018,14,0
01D,2019,12,4
01D,2020,14,1
01D,2021,10,2
01D,2022,20,0
01D,2023,3,0
07A,2012,13,9
07A,2013,19,19
07A,2014,26,9
07A,2015,17,7
07A,2016,26,14
07A,2017,19,5
07A,2018,21,6
07A,2019,11,4
07A,2020,5,0
07A,2021,6,0
07A,2022,17,1
07A,2023,10,1
07B,2012,198,121
07B,2013,148,66
07B,2014,131,50
07B,2015,148,56
07B,2016,172,73
07B,2017,148,81
07B,2018,157,87
07B,2019,189,102
07B,2020,71,20
07B,2021,57,13
07B,2022,139,52
07B,2023,155,63
09A,2012,84,59
09A,2013,107,49
09A,2014,87,33
09A,2015,113,47
09A,2016,131,75
09A,2017,139,66
09A,2018,124,74
09A,2019,123,59
09A,2020,19,4
09A,2021,22,2
09A,2022,65,26
09A,2023,104,37
09B,2012,105,58
09B,2013,106,43
09B,2014,105,42
09B,2015,90,51
09B,2016,90,50
09B,2017,97,53
09B,2018,92,53
09B,2019,110,57
09B,2020,20,6
09B,2021,24,2
09B,2022,104,43
09B,2023,148,72
11A,2012,39,16
11A,2013,68,22
11A,2014,57,26
11A,2015,64,28
11A,2016,55,32
11A,2017,55,27
11A,2018,83,33
11A,2019,77,32
11A,2020,8,3
11A,2021,23,0
11A,2022,62,19
11A,2023,54,14
11B,2012,25,3
11B,2013,41,7
11B,2014,37,2
11B,2015,38,7
11B,2016,49,8
11B,2017,34,13
11B,2018,47,3
11B,2019,36,3
11B,2020,43,4
11B,2021,29,2
11B,2022,23,5
11B,2023,32,6
12A,2012,54,26
12A,2013,89,30
12A,2014,86,39
12A,2015,116,35
12A,2016,54,18
12A,2017,106,47
12A,2018,59,15
12A,2019,72,28
12A,2020,59,7
12A,2021,40,4
12A,2022,55,18
12A,2023,94,29
12B,2012,181,88
12B,2013,200,80
12B,2014,179,64
12B,2015,194,74
12B,2016,258,102
12B,2017,234,68
12B,2018,219,83
12B,2019,271,87
12B,2020,137,18
12B,2021,114,14
12B,2022,155,42
12B,2023,173,62
15A,2012,266,150
15A,2013,298,134
15A,2014,303,126
15A,2015,315,140
15A,2016,321,168
15A,2017,309,120
15A,2018,271,107
15A,2019,300,144
15A,2020,141,29
15A,2021,121,7
15A,2022,212,66
15A,2023,293,111
15B,2012,467,103
15B,2013,512,118
15B,2014,406,75
15B,2015,488,85
15B,2016,540,129
15B,2017,539,154
15B,2018,452,134
15B,2019,557,168
15B,2020,424,35
15B,2021,423,42
15B,2022,506,53
15B,2023,584,151
16A,2012,20,0
16A,2013,30,4
16A,2014,39,7
16A,2015,42,9
16A,2016,80,13
16A,2017,67,15
16A,2018,81,7
16A,2019,77,12
16A,2020,55,5
16A,2021,62,4
16A,2022,57,16
16A,2023,60,14
16B,2012,102,39
16B,2013,98,41
16B,2014,96,37
16B,2015,123,46
16B,2016,164,65
16B,2017,175,64
16B,2018,181,50
16B,2019,193,51
16B,2020,155,13
16B,2021,179,10
16B,2022,162,17
16B,2023,197,39
16C,2012,111,29
16C,2013,117,35
16C,2014,100,27
16C,2015,126,42
16C,2016,128,37
16C,2017,128,49
16C,2018,115,43
16C,2019,111,29
16C,2020,56,4
16C,2021,82,4
16C,2022,73,6
16C,2023,115,32
18A,2012,128,34
18A,2013,160,32
18A,2014,164,27
18A,2015,196,42
18A,2016,222,67
18A,2017,258,60
18A,2018,261,39
18A,2019,296,75
18A,2020,244,13
18A,2021,247,24
18A,2022,228,30
18A,2023,132,54
18B,2012,39,1
18B,2013,51,2
18B,2014,34,0
18B,2015,46,7
18B,2016,86,26
18B,2017,85,10
18B,2018,55,10
18B,2019,92,10
18B,2020,75,0
18B,2021,79,4
18B,2022,71,6
18B,2023,46,1
21A,2012,554,97
21A,2013,625,148
21A,2014,669,118
21A,2015,674,170
21A,2016,760,177
21A,2017,629,121
21A,2018,646,90
21A,2019,538,114
21A,2020,449,49
21A,2021,425,48
21A,2022,420,62
21A,2023,477,123
21B,2012,468,185
21B,2013,460,155
21B,2014,427,143
21B,2015,537,188
21B,2016,665,228
21B,2017,592,146
21B,2018,529,141
21B,2019,541,101
21B,2020,371,44
21B,2021,406,59
21B,2022,428,99
21B,2023,463,169
43A,2012,33,6
43A,2013,21,1
43A,2014,32,7
43A,2015,46,7
43A,2016,50,11
43A,2017,37,7
43A,2018,32,6
43A,2019,42,3
43A,2020,48,6
43A,2021,29,6
43A,2022,35,7
43A,2023,41,8
43B,2012,66,13
43B,2013,48,3
43B,2014,55,3
43B,2015,88,7
43B,2016,127,23
43B,2017,151,21
43B,2018,129,17
43B,2019,115,13
43B,2020,107,16
43B,2021,98,8
43B,2022,93,7
43B,2023,88,8
55A,2012,260,45
55A,2013,240,31
55A,2014,204,43
55A,2015,269,84
55A,2016,344,81
55A,2017,298,67
55A,2018,265,63
55A,2019,260,39
55A,2020,198,15
55A,2021,208,36
55A,2022,255,76
55A,2023,266,52
55B,2012,210,23
55B,2013,148,12
55B,2014,168,37
55B,2015,177,51
55B,2016,236,51
55B,2017,221,30
55B,2018,267,63
55B,2019,189,19
55B,2020,202,39
55B,2021,188,28
55B,2022,278,64
55B,2023,190,19
69A,2012,2,0
69A,2013,14,0
69A,2014,10,0
69A,2015,10,0
69A,2016,14,0
69A,2017,27,2
69A,2018,19,1
69A,2019,17,3
69A,2020,28,1
69A,2021,32,0
69A,2022,16,1
69A,2023,27,1
69B,2012,2,0
69B,2013,9,0
69B,2014,13,2
69B,2015,6,0
69B,2016,2,0
69B,2017,5,0
69B,2018,3,0
69B,2019,15,2
69B,2020,30,1
69B,2021,15,1
69B,2022,20,0
69B,2023,10,1
82A,2012,36,4
82A,2013,38,1
82A,2014,29,0
82A,2015,38,3
82A,2016,66,12
82A,2017,36,2
82A,2018,50,1
82A,2019,48,3
82A,2020,33,4
82A,2021,19,4
82A,2022,26,2
82A,2023,20,2
Total,2012,21218,5157
Total,2013,20891,4716
Total,2014,22875,5017
Total,2015,26293,6662
Total,2016,31480,8152
Total,2017,28718,6497
Total,2018,27138,5869
Total,2019,28250,5301
Total,2020,27291,4269
Total,2021,25691,3785
Total,2022,25746,4353
Total,2023,25855,4841
